Date,Geography,District,Measure Type,Unit,Value
2011,E01004768,E08000001,Count,Households,4
2011,E01004803,E08000001,Count,Households,5
2011,E01004804,E08000001,Count,Households,2
2011,E01004807,E08000001,Count,Households,5
2011,E01004808,E08000001,Count,Households,6
2011,E01004788,E08000001,Count,Households,3
2011,E01004790,E08000001,Count,Households,10
2011,E01004805,E08000001,Count,Households,8
2011,E01004806,E08000001,Count,Households,4
2011,E01004810,E08000001,Count,Households,8
2011,E01004769,E08000001,Count,Households,0
2011,E01004770,E08000001,Count,Households,2
2011,E01004771,E08000001,Count,Households,2
2011,E01004773,E08000001,Count,Households,10
2011,E01004809,E08000001,Count,Households,17
2011,E01004777,E08000001,Count,Households,21
2011,E01004881,E08000001,Count,Households,15
2011,E01004888,E08000001,Count,Households,12
2011,E01004889,E08000001,Count,Households,22
2011,E01004890,E08000001,Count,Households,11
2011,E01004766,E08000001,Count,Households,18
2011,E01004767,E08000001,Count,Households,10
2011,E01004772,E08000001,Count,Households,44
2011,E01004774,E08000001,Count,Households,29
2011,E01004824,E08000001,Count,Households,13
2011,E01004784,E08000001,Count,Households,1
2011,E01004785,E08000001,Count,Households,12
2011,E01004786,E08000001,Count,Households,7
2011,E01004789,E08000001,Count,Households,4
2011,E01004791,E08000001,Count,Households,2
2011,E01004792,E08000001,Count,Households,1
2011,E01004779,E08000001,Count,Households,14
2011,E01004781,E08000001,Count,Households,18
2011,E01004882,E08000001,Count,Households,9
2011,E01004883,E08000001,Count,Households,8
2011,E01004884,E08000001,Count,Households,1
2011,E01004864,E08000001,Count,Households,9
2011,E01004867,E08000001,Count,Households,27
2011,E01004921,E08000001,Count,Households,17
2011,E01004924,E08000001,Count,Households,4
2011,E01004925,E08000001,Count,Households,4
2011,E01004778,E08000001,Count,Households,1
2011,E01004780,E08000001,Count,Households,10
2011,E01004782,E08000001,Count,Households,6
2011,E01004783,E08000001,Count,Households,4
2011,E01004802,E08000001,Count,Households,57
2011,E01004926,E08000001,Count,Households,47
2011,E01004927,E08000001,Count,Households,63
2011,E01004929,E08000001,Count,Households,31
2011,E01004820,E08000001,Count,Households,40
2011,E01004825,E08000001,Count,Households,30
2011,E01004826,E08000001,Count,Households,42
2011,E01004865,E08000001,Count,Households,11
2011,E01004866,E08000001,Count,Households,43
2011,E01004840,E08000001,Count,Households,15
2011,E01004841,E08000001,Count,Households,46
2011,E01004842,E08000001,Count,Households,5
2011,E01004919,E08000001,Count,Households,10
2011,E01004920,E08000001,Count,Households,28
2011,E01004787,E08000001,Count,Households,54
2011,E01004793,E08000001,Count,Households,43
2011,E01004794,E08000001,Count,Households,66
2011,E01004795,E08000001,Count,Households,26
2011,E01004797,E08000001,Count,Households,40
2011,E01004775,E08000001,Count,Households,4
2011,E01004885,E08000001,Count,Households,3
2011,E01004886,E08000001,Count,Households,24
2011,E01004887,E08000001,Count,Households,18
2011,E01004868,E08000001,Count,Households,34
2011,E01004869,E08000001,Count,Households,52
2011,E01004870,E08000001,Count,Households,15
2011,E01004871,E08000001,Count,Households,35
2011,E01004922,E08000001,Count,Households,31
2011,E01004822,E08000001,Count,Households,30
2011,E01004823,E08000001,Count,Households,47
2011,E01004848,E08000001,Count,Households,38
2011,E01033217,E08000001,Count,Households,14
2011,E01033220,E08000001,Count,Households,27
2011,E01004818,E08000001,Count,Households,18
2011,E01004819,E08000001,Count,Households,11
2011,E01004928,E08000001,Count,Households,37
2011,E01004930,E08000001,Count,Households,17
2011,E01004931,E08000001,Count,Households,31
2011,E01004932,E08000001,Count,Households,18
2011,E01004834,E08000001,Count,Households,19
2011,E01004838,E08000001,Count,Households,39
2011,E01004843,E08000001,Count,Households,3
2011,E01004845,E08000001,Count,Households,5
2011,E01004923,E08000001,Count,Households,13
2011,E01004796,E08000001,Count,Households,14
2011,E01004798,E08000001,Count,Households,39
2011,E01004799,E08000001,Count,Households,7
2011,E01004800,E08000001,Count,Households,4
2011,E01004801,E08000001,Count,Households,70
2011,E01004917,E08000001,Count,Households,44
2011,E01004835,E08000001,Count,Households,2
2011,E01004836,E08000001,Count,Households,4
2011,E01004837,E08000001,Count,Households,2
2011,E01004844,E08000001,Count,Households,4
2011,E01004897,E08000001,Count,Households,9
2011,E01004827,E08000001,Count,Households,41
2011,E01004849,E08000001,Count,Households,24
2011,E01004850,E08000001,Count,Households,39
2011,E01004851,E08000001,Count,Households,17
2011,E01004853,E08000001,Count,Households,32
2011,E01004811,E08000001,Count,Households,40
2011,E01004812,E08000001,Count,Households,30
2011,E01004813,E08000001,Count,Households,27
2011,E01004815,E08000001,Count,Households,28
2011,E01004817,E08000001,Count,Households,15
2011,E01004828,E08000001,Count,Households,35
2011,E01004829,E08000001,Count,Households,17
2011,E01004832,E08000001,Count,Households,23
2011,E01004854,E08000001,Count,Households,19
2011,E01004878,E08000001,Count,Households,14
2011,E01004911,E08000001,Count,Households,22
2011,E01004912,E08000001,Count,Households,5
2011,E01004913,E08000001,Count,Households,23
2011,E01004914,E08000001,Count,Households,6
2011,E01004915,E08000001,Count,Households,9
2011,E01004916,E08000001,Count,Households,18
2011,E01004918,E08000001,Count,Households,2
2011,E01004846,E08000001,Count,Households,29
2011,E01004847,E08000001,Count,Households,59
2011,E01004852,E08000001,Count,Households,17
2011,E01004877,E08000001,Count,Households,48
2011,E01004879,E08000001,Count,Households,33
2011,E01004830,E08000001,Count,Households,28
2011,E01004831,E08000001,Count,Households,10
2011,E01004833,E08000001,Count,Households,6
2011,E01004839,E08000001,Count,Households,46
2011,E01004814,E08000001,Count,Households,29
2011,E01004855,E08000001,Count,Households,30
2011,E01004856,E08000001,Count,Households,38
2011,E01004857,E08000001,Count,Households,46
2011,E01004891,E08000001,Count,Households,2
2011,E01004893,E08000001,Count,Households,2
2011,E01004894,E08000001,Count,Households,20
2011,E01004901,E08000001,Count,Households,4
2011,E01033218,E08000001,Count,Households,8
2011,E01033219,E08000001,Count,Households,4
