name,address,postcode,area_name,area_code,long,lat
Done Brothers (Cash Betting) Limited,"Betfred, 472-476 Halliwell Road, Bolton",BL1 8AN,Bolton,E08000001,-2.443978,53.594479
Done Brothers (Cash Betting) Limited,"Betfred, 57 Market Street, Bolton",BL5 3AG,Bolton,E08000001,-2.522222,53.548736
Done Brothers (Cash Betting) Limited,"Betfred, 86 St. Helens Road, Bolton",BL3 3NP,Bolton,E08000001,-2.448229,53.564937
Done Brothers (Cash Betting) Limited,"Betfred, Market St/Foundry Street, Little Lever, Bolton",BL3 1HH,Bolton,E08000001,-2.371957,53.562266
Done Brothers (Cash Betting) Limited,"Betfred, Unit 1, 192 Manchester Road, Kearsley, Bolton",BL4 8QR,Bolton,E08000001,-2.368796,53.537432
Done Brothers (Cash Betting) Limited,"Betfred, Unit 3,16-22 Oxford Street, Bolton",BL1 1RF,Bolton,E08000001,-2.429924,53.579259
Talarius Limited,"Quicksilver, 57A-59 Newport Street, Bolton",BL1 1NE,Bolton,E08000001,-2.428875,53.577151
Summit Leisure (Market St) Limited,"Shaws Amusements, 18-22 Market Street, Bolton",BL1 1BU,Bolton,E08000001,-2.42962,53.579081
Summit Leisure (Market St) Limited,"Shaws Amusements, 76-78 Deansgate, Bolton",BL1 1BD,Bolton,E08000001,-2.431692,53.579574
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 13 Belmont Road, Bolton",BL1 7AF,Bolton,E08000001,-2.433279,53.601646
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 147-151 Tonge Moor Road, Bolton",BL2 2HR,Bolton,E08000001,-2.412729,53.589387
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 171-173 St. Helens Road, Bolton",BL3 3PS,Bolton,E08000001,-2.451334,53.563019
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 196 Deane Road, Bolton",BL3 5DP,Bolton,E08000001,-2.443963,53.573058
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 2 -4 Norris Street, Farnworth, Bolton",BL4 9HG,Bolton,E08000001,-2.398216,53.544935
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 21- 25 Great Moor Street, Bolton",BL1 1NZ,Bolton,E08000001,-2.428142,53.576345
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 222 Chorley New Road, Horwich, Bolton",BL6 5NP,Bolton,E08000001,-2.545768,53.594525
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 223 Rishton Lane, Bolton",BL3 2BN,Bolton,E08000001,-2.428019,53.562824
