Date,Geography,Measure Type,Unit,Value
2018-11,E01004795,count,persons,50
2018-11,E01004797,count,persons,40
2018-11,E01004775,count,persons,5
2018-11,E01004885,count,persons,0
2018-11,E01004886,count,persons,30
2018-11,E01004887,count,persons,20
2018-11,E01004868,count,persons,40
2018-11,E01004869,count,persons,70
2018-11,E01004870,count,persons,90
2018-11,E01004871,count,persons,30
2018-11,E01004922,count,persons,40
2018-11,E01004822,count,persons,65
2018-11,E01004823,count,persons,135
2018-11,E01004848,count,persons,85
2018-11,E01033217,count,persons,55
2018-11,E01033220,count,persons,90
2018-11,E01004818,count,persons,95
2018-11,E01004819,count,persons,30
2018-11,E01004928,count,persons,45
2018-11,E01004930,count,persons,15
2018-11,E01004931,count,persons,25
2018-11,E01004932,count,persons,40
2018-11,E01004834,count,persons,25
2018-11,E01004838,count,persons,40
2018-11,E01004843,count,persons,10
2018-11,E01004845,count,persons,15
2018-11,E01004923,count,persons,30
2018-11,E01004796,count,persons,25
2018-11,E01004798,count,persons,35
2018-11,E01004799,count,persons,5
2018-11,E01004800,count,persons,10
2018-11,E01004801,count,persons,60
2018-11,E01004917,count,persons,40
2018-11,E01004835,count,persons,10
2018-11,E01004836,count,persons,15
2018-11,E01004837,count,persons,5
2018-11,E01004844,count,persons,0
2018-11,E01004897,count,persons,5
2018-11,E01004827,count,persons,55
2018-11,E01004849,count,persons,40
2018-11,E01004850,count,persons,115
2018-11,E01004851,count,persons,60
2018-11,E01004853,count,persons,45
2018-11,E01004811,count,persons,35
2018-11,E01004812,count,persons,40
2018-11,E01004813,count,persons,25
2018-11,E01004815,count,persons,40
2018-11,E01004817,count,persons,50
2018-11,E01004828,count,persons,60
2018-11,E01004829,count,persons,30
2018-11,E01004832,count,persons,20
2018-11,E01004854,count,persons,20
2018-11,E01004878,count,persons,25
2018-11,E01004911,count,persons,40
2018-11,E01004912,count,persons,5
2018-11,E01004913,count,persons,25
2018-11,E01004914,count,persons,10
2018-11,E01004915,count,persons,5
2018-11,E01004916,count,persons,25
2018-11,E01004918,count,persons,10
2018-11,E01004846,count,persons,30
2018-11,E01004847,count,persons,50
2018-11,E01004852,count,persons,20
2018-11,E01004877,count,persons,65
2018-11,E01004879,count,persons,50
2018-11,E01004830,count,persons,35
2018-11,E01004831,count,persons,20
2018-11,E01004833,count,persons,10
2018-11,E01004839,count,persons,75
2018-11,E01004814,count,persons,25
2018-11,E01004855,count,persons,35
2018-11,E01004856,count,persons,60
2018-11,E01004857,count,persons,60
2018-11,E01004891,count,persons,5
2018-11,E01004893,count,persons,5
2018-11,E01004894,count,persons,10
2018-11,E01004901,count,persons,5
2018-11,E01033218,count,persons,10
2018-11,E01033219,count,persons,0
2018-11,E01004816,count,persons,25
2018-11,E01004872,count,persons,30
2018-11,E01004873,count,persons,35
2018-11,E01004875,count,persons,15
2018-11,E01004880,count,persons,10
2018-11,E01004892,count,persons,5
2018-11,E01004896,count,persons,5
2018-11,E01004899,count,persons,15
2018-11,E01004900,count,persons,15
2018-11,E01004776,count,persons,25
2018-11,E01004895,count,persons,20
2018-11,E01004936,count,persons,10
2018-11,E01004938,count,persons,40
2018-11,E01004939,count,persons,30
2018-11,E01004858,count,persons,35
2018-11,E01004859,count,persons,60
2018-11,E01004860,count,persons,25
2018-11,E01004902,count,persons,30
2018-11,E01004906,count,persons,40
2018-11,E01004861,count,persons,50
2018-11,E01004862,count,persons,50
2018-11,E01004863,count,persons,55
2018-11,E01004874,count,persons,30
2018-11,E01004876,count,persons,50
2018-11,E01004903,count,persons,5
2018-11,E01004904,count,persons,15
2018-11,E01004905,count,persons,25
2018-11,E01004907,count,persons,25
2018-11,E01004908,count,persons,15
2018-11,E01004909,count,persons,25
2018-11,E01004910,count,persons,10
2018-11,E01004933,count,persons,10
2018-11,E01004934,count,persons,15
2018-11,E01004935,count,persons,10
2018-11,E01004937,count,persons,10
2018-11,E01004940,count,persons,10
2018-11,E01005014,count,persons,20
2018-11,E01005015,count,persons,20
2018-11,E01005016,count,persons,5
2018-11,E01005017,count,persons,15
2018-11,E01005018,count,persons,25
2018-11,E01005021,count,persons,0
2018-11,E01005019,count,persons,10
2018-11,E01005023,count,persons,10
2018-11,E01005046,count,persons,5
2018-11,E01005048,count,persons,5
2018-11,E01005020,count,persons,5
2018-11,E01005022,count,persons,5
2018-11,E01005047,count,persons,5
2018-11,E01005049,count,persons,10
2018-11,E01005051,count,persons,10
2018-11,E01004976,count,persons,35
2018-11,E01004977,count,persons,25
2018-11,E01004978,count,persons,25
2018-11,E01004981,count,persons,10
2018-11,E01004982,count,persons,15
2018-11,E01004961,count,persons,30
2018-11,E01004965,count,persons,5
2018-11,E01004966,count,persons,45
2018-11,E01004967,count,persons,5
2018-11,E01004963,count,persons,25
2018-11,E01004968,count,persons,10
2018-11,E01005050,count,persons,10
2018-11,E01005052,count,persons,10
2018-11,E01005053,count,persons,5
2018-11,E01004954,count,persons,25
2018-11,E01004955,count,persons,35
2018-11,E01004956,count,persons,40
2018-11,E01004957,count,persons,95
2018-11,E01004960,count,persons,130
2018-11,E01004958,count,persons,50
2018-11,E01004959,count,persons,60
2018-11,E01004979,count,persons,80
2018-11,E01004980,count,persons,60
2018-11,E01005024,count,persons,55
2018-11,E01005026,count,persons,25
2018-11,E01004947,count,persons,40
2018-11,E01004948,count,persons,70
2018-11,E01004962,count,persons,25
2018-11,E01004964,count,persons,30
2018-11,E01004949,count,persons,5
2018-11,E01004950,count,persons,5
2018-11,E01004951,count,persons,10
2018-11,E01004952,count,persons,0
2018-11,E01004953,count,persons,10
2018-11,E01005025,count,persons,35
2018-11,E01005027,count,persons,50
2018-11,E01005028,count,persons,70
2018-11,E01005029,count,persons,40
2018-11,E01005000,count,persons,5
2018-11,E01005001,count,persons,10
2018-11,E01005005,count,persons,5
2018-11,E01005006,count,persons,20
2018-11,E01005030,count,persons,45
2018-11,E01005054,count,persons,15
2018-11,E01005059,count,persons,25
2018-11,E01005060,count,persons,20
2018-11,E01004997,count,persons,25
2018-11,E01004998,count,persons,10
2018-11,E01004999,count,persons,15
2018-11,E01005002,count,persons,15
2018-11,E01005003,count,persons,30
2018-11,E01004991,count,persons,20
2018-11,E01004992,count,persons,25
2018-11,E01004993,count,persons,50
2018-11,E01004994,count,persons,35
2018-11,E01004990,count,persons,30
2018-11,E01004996,count,persons,50
2018-11,E01005004,count,persons,65
2018-11,E01005008,count,persons,70
2018-11,E01005009,count,persons,75
2018-11,E01004945,count,persons,5
2018-11,E01005055,count,persons,5
2018-11,E01005056,count,persons,10
2018-11,E01005057,count,persons,20
2018-11,E01005058,count,persons,10
2018-11,E01004995,count,persons,5
2018-11,E01005010,count,persons,15
2018-11,E01005012,count,persons,45
2018-11,E01005013,count,persons,55
2018-11,E01004984,count,persons,10
2018-11,E01004985,count,persons,5
2018-11,E01004989,count,persons,10
2018-11,E01005007,count,persons,15
2018-11,E01005011,count,persons,5
2018-11,E01004983,count,persons,10
2018-11,E01004986,count,persons,35
2018-11,E01004987,count,persons,55
2018-11,E01004988,count,persons,20
2018-11,E01004941,count,persons,35
2018-11,E01004942,count,persons,60
2018-11,E01004943,count,persons,15
2018-11,E01004944,count,persons,10
2018-11,E01004946,count,persons,80
2018-11,E01004969,count,persons,45
2018-11,E01004970,count,persons,5
2018-11,E01004971,count,persons,10
2018-11,E01005034,count,persons,15
2018-11,E01004972,count,persons,35
2018-11,E01004973,count,persons,25
2018-11,E01004975,count,persons,35
2018-11,E01005039,count,persons,30
2018-11,E01005045,count,persons,35
2018-11,E01004974,count,persons,10
2018-11,E01005033,count,persons,15
2018-11,E01005036,count,persons,45
2018-11,E01005037,count,persons,15
2018-11,E01005031,count,persons,30
2018-11,E01005032,count,persons,50
2018-11,E01005035,count,persons,20
2018-11,E01005038,count,persons,15
2018-11,E01005040,count,persons,20
2018-11,E01005041,count,persons,15
2018-11,E01005042,count,persons,20
2018-11,E01005043,count,persons,10
2018-11,E01005044,count,persons,15
2018-11,E01005098,count,persons,45
2018-11,E01005099,count,persons,70
2018-11,E01005100,count,persons,35
2018-11,E01005102,count,persons,20
2018-11,E01005103,count,persons,45
2018-11,E01005101,count,persons,35
2018-11,E01005135,count,persons,60
2018-11,E01005136,count,persons,25
2018-11,E01005138,count,persons,80
2018-11,E01005140,count,persons,65
2018-11,E01005139,count,persons,30
2018-11,E01005141,count,persons,70
2018-11,E01005251,count,persons,55
2018-11,E01005252,count,persons,60
2018-11,E01033685,count,persons,25
2018-11,E01033687,count,persons,35
2018-11,E01005104,count,persons,45
2018-11,E01005160,count,persons,35
2018-11,E01005161,count,persons,25
2018-11,E01005162,count,persons,25
2018-11,E01005163,count,persons,35
2018-11,E01005247,count,persons,15
2018-11,E01005248,count,persons,15
2018-11,E01005249,count,persons,55
2018-11,E01005250,count,persons,55
2018-11,E01005253,count,persons,65
2018-11,E01005254,count,persons,20
2018-11,E01005164,count,persons,85
2018-11,E01005205,count,persons,100
2018-11,E01005206,count,persons,45
2018-11,E01005207,count,persons,55
2018-11,E01005223,count,persons,50
2018-11,E01005224,count,persons,60
2018-11,E01005225,count,persons,60
2018-11,E01005226,count,persons,70
2018-11,E01005229,count,persons,25
2018-11,E01005145,count,persons,65
2018-11,E01005146,count,persons,50
2018-11,E01005149,count,persons,35
2018-11,E01005165,count,persons,100
2018-11,E01005166,count,persons,55
2018-11,E01005167,count,persons,50
2018-11,E01005202,count,persons,80
2018-11,E01005203,count,persons,100
2018-11,E01005227,count,persons,75
2018-11,E01005228,count,persons,90
2018-11,E01033678,count,persons,90
2018-11,E01033679,count,persons,90
2018-11,E01005256,count,persons,105
2018-11,E01005257,count,persons,95
2018-11,E01005258,count,persons,55
2018-11,E01005259,count,persons,95
2018-11,E01005260,count,persons,30
2018-11,E01005093,count,persons,65
2018-11,E01005094,count,persons,60
2018-11,E01005097,count,persons,65
2018-11,E01005255,count,persons,100
2018-11,E01005261,count,persons,75
2018-11,E01005129,count,persons,75
2018-11,E01005132,count,persons,75
2018-11,E01005133,count,persons,55
2018-11,E01033663,count,persons,30
2018-11,E01033684,count,persons,10
2018-11,E01033688,count,persons,85
2018-11,E01005092,count,persons,45
2018-11,E01005105,count,persons,80
2018-11,E01005106,count,persons,100
2018-11,E01005107,count,persons,85
2018-11,E01033668,count,persons,30
2018-11,E01033669,count,persons,55
2018-11,E01005108,count,persons,130
2018-11,E01005189,count,persons,75
2018-11,E01005190,count,persons,80
2018-11,E01033666,count,persons,115
2018-11,E01005061,count,persons,65
2018-11,E01005062,count,persons,55
2018-11,E01005063,count,persons,75
2018-11,E01005065,count,persons,80
2018-11,E01005066,count,persons,45
2018-11,E01005208,count,persons,60
2018-11,E01005209,count,persons,130
2018-11,E01005210,count,persons,65
2018-11,E01005214,count,persons,50
2018-11,E01005067,count,persons,60
2018-11,E01005186,count,persons,70
2018-11,E01005232,count,persons,65
2018-11,E01005235,count,persons,65
2018-11,E01005239,count,persons,65
2018-11,E01005187,count,persons,80
2018-11,E01005188,count,persons,60
2018-11,E01005191,count,persons,75
2018-11,E01005192,count,persons,60
2018-11,E01005193,count,persons,35
2018-11,E01005230,count,persons,105
2018-11,E01005231,count,persons,55
2018-11,E01005236,count,persons,85
2018-11,E01005237,count,persons,75
2018-11,E01033652,count,persons,65
2018-11,E01033657,count,persons,45
2018-11,E01005195,count,persons,75
2018-11,E01005196,count,persons,85
2018-11,E01005197,count,persons,70
2018-11,E01005198,count,persons,80
2018-11,E01005201,count,persons,105
2018-11,E01005240,count,persons,135
2018-11,E01005243,count,persons,145
2018-11,E01005245,count,persons,120
2018-11,E01005246,count,persons,110
2018-11,E01005241,count,persons,80
2018-11,E01005242,count,persons,130
2018-11,E01005244,count,persons,110
2018-11,E01005285,count,persons,70
2018-11,E01005288,count,persons,105
2018-11,E01005280,count,persons,50
2018-11,E01005281,count,persons,35
2018-11,E01005284,count,persons,50
2018-11,E01005286,count,persons,45
2018-11,E01005287,count,persons,75
2018-11,E01005194,count,persons,90
2018-11,E01005199,count,persons,45
2018-11,E01005200,count,persons,65
2018-11,E01005233,count,persons,65
2018-11,E01005234,count,persons,65
2018-11,E01005238,count,persons,60
2018-11,E01005297,count,persons,115
2018-11,E01005298,count,persons,35
2018-11,E01005302,count,persons,100
2018-11,E01033680,count,persons,50
2018-11,E01033686,count,persons,55
2018-11,E01005150,count,persons,60
2018-11,E01005151,count,persons,45
2018-11,E01005152,count,persons,10
2018-11,E01005159,count,persons,25
2018-11,E01005296,count,persons,25
2018-11,E01005299,count,persons,30
2018-11,E01005178,count,persons,55
2018-11,E01005179,count,persons,55
2018-11,E01005180,count,persons,55
2018-11,E01005181,count,persons,45
2018-11,E01005182,count,persons,45
2018-11,E01005183,count,persons,45
2018-11,E01005219,count,persons,80
2018-11,E01005220,count,persons,60
2018-11,E01005221,count,persons,55
2018-11,E01005222,count,persons,70
2018-11,E01005184,count,persons,60
2018-11,E01005185,count,persons,15
2018-11,E01005271,count,persons,80
2018-11,E01005282,count,persons,30
2018-11,E01005283,count,persons,10
2018-11,E01005154,count,persons,15
2018-11,E01005156,count,persons,5
2018-11,E01005158,count,persons,30
2018-11,E01005300,count,persons,25
2018-11,E01005301,count,persons,15
2018-11,E01005118,count,persons,5
2018-11,E01005120,count,persons,30
2018-11,E01005215,count,persons,75
2018-11,E01005216,count,persons,20
2018-11,E01005217,count,persons,40
2018-11,E01005218,count,persons,30
2018-11,E01005270,count,persons,70
2018-11,E01005272,count,persons,65
2018-11,E01005273,count,persons,30
2018-11,E01005278,count,persons,40
2018-11,E01005279,count,persons,60
2018-11,E01005305,count,persons,30
2018-11,E01005309,count,persons,35
2018-11,E01005310,count,persons,30
2018-11,E01005311,count,persons,40
2018-11,E01005312,count,persons,30
2018-11,E01005082,count,persons,40
2018-11,E01005153,count,persons,20
2018-11,E01005155,count,persons,10
2018-11,E01005157,count,persons,15
2018-11,E01005274,count,persons,45
2018-11,E01005275,count,persons,25
2018-11,E01005276,count,persons,20
2018-11,E01005277,count,persons,35
2018-11,E01005076,count,persons,10
2018-11,E01005081,count,persons,75
2018-11,E01005083,count,persons,15
2018-11,E01033670,count,persons,5
2018-11,E01033671,count,persons,5
2018-11,E01005125,count,persons,40
2018-11,E01005304,count,persons,25
2018-11,E01005306,count,persons,20
2018-11,E01005307,count,persons,15
2018-11,E01005308,count,persons,40
2018-11,E01005119,count,persons,40
2018-11,E01005121,count,persons,50
2018-11,E01005122,count,persons,45
2018-11,E01005123,count,persons,60
2018-11,E01005124,count,persons,60
2018-11,E01005077,count,persons,65
2018-11,E01005078,count,persons,15
2018-11,E01005079,count,persons,30
2018-11,E01005084,count,persons,45
2018-11,E01005172,count,persons,20
2018-11,E01005173,count,persons,5
2018-11,E01005174,count,persons,5
2018-11,E01005175,count,persons,20
2018-11,E01005176,count,persons,20
2018-11,E01005177,count,persons,10
2018-11,E01005115,count,persons,30
2018-11,E01005262,count,persons,40
2018-11,E01005264,count,persons,35
2018-11,E01005265,count,persons,45
2018-11,E01005266,count,persons,45
2018-11,E01005126,count,persons,25
2018-11,E01005168,count,persons,10
2018-11,E01005169,count,persons,10
2018-11,E01005170,count,persons,15
2018-11,E01005171,count,persons,35
2018-11,E01005263,count,persons,35
2018-11,E01005267,count,persons,20
2018-11,E01005268,count,persons,30
2018-11,E01005269,count,persons,15
2018-11,E01005069,count,persons,10
2018-11,E01005111,count,persons,25
2018-11,E01005113,count,persons,50
2018-11,E01005114,count,persons,20
2018-11,E01005116,count,persons,35
2018-11,E01005071,count,persons,30
2018-11,E01005072,count,persons,55
2018-11,E01005073,count,persons,15
2018-11,E01005112,count,persons,35
2018-11,E01005117,count,persons,85
2018-11,E01005085,count,persons,40
2018-11,E01005086,count,persons,65
2018-11,E01005089,count,persons,55
2018-11,E01005289,count,persons,55
2018-11,E01005295,count,persons,35
2018-11,E01005087,count,persons,75
2018-11,E01005088,count,persons,60
2018-11,E01005090,count,persons,65
2018-11,E01005091,count,persons,65
2018-11,E01005291,count,persons,60
2018-11,E01005068,count,persons,35
2018-11,E01005070,count,persons,50
2018-11,E01005074,count,persons,55
2018-11,E01005075,count,persons,30
2018-11,E01005319,count,persons,60
2018-11,E01005290,count,persons,55
2018-11,E01005292,count,persons,45
2018-11,E01005293,count,persons,10
2018-11,E01005294,count,persons,25
2018-11,E01005317,count,persons,35
2018-11,E01005313,count,persons,40
2018-11,E01005314,count,persons,40
2018-11,E01005315,count,persons,55
2018-11,E01005316,count,persons,35
2018-11,E01005318,count,persons,45
2018-11,E01005130,count,persons,65
2018-11,E01033651,count,persons,15
2018-11,E01033658,count,persons,10
2018-11,E01033664,count,persons,10
2018-11,E01033667,count,persons,20
2018-11,E01005128,count,persons,0
2018-11,E01033653,count,persons,20
2018-11,E01033654,count,persons,0
2018-11,E01033659,count,persons,10
2018-11,E01033661,count,persons,5
2018-11,E01005143,count,persons,85
2018-11,E01033655,count,persons,10
2018-11,E01033665,count,persons,20
2018-11,E01033676,count,persons,65
2018-11,E01005212,count,persons,65
2018-11,E01033656,count,persons,5
2018-11,E01033662,count,persons,15
2018-11,E01005142,count,persons,85
2018-11,E01005147,count,persons,75
2018-11,E01033674,count,persons,40
2018-11,E01033675,count,persons,40
2018-11,E01005213,count,persons,105
2018-11,E01033660,count,persons,5
2018-11,E01033672,count,persons,65
2018-11,E01033673,count,persons,0
2018-11,E01033677,count,persons,5
2018-11,E01033681,count,persons,0
2018-11,E01033682,count,persons,5
2018-11,E01033683,count,persons,5
2018-11,E01005357,count,persons,10
2018-11,E01005358,count,persons,35
2018-11,E01005359,count,persons,10
2018-11,E01005360,count,persons,20
2018-11,E01005441,count,persons,45
2018-11,E01005442,count,persons,10
2018-11,E01005444,count,persons,35
2018-11,E01005445,count,persons,45
2018-11,E01005361,count,persons,5
2018-11,E01005443,count,persons,5
2018-11,E01005446,count,persons,30
2018-11,E01005447,count,persons,50
2018-11,E01005390,count,persons,15
2018-11,E01005394,count,persons,15
2018-11,E01005395,count,persons,15
2018-11,E01005396,count,persons,25
2018-11,E01005355,count,persons,40
2018-11,E01005356,count,persons,15
2018-11,E01005399,count,persons,20
2018-11,E01005403,count,persons,20
2018-11,E01005410,count,persons,15
2018-11,E01005411,count,persons,15
2018-11,E01005414,count,persons,5
2018-11,E01005415,count,persons,15
2018-11,E01005452,count,persons,10
2018-11,E01005453,count,persons,15
2018-11,E01032558,count,persons,80
2018-11,E01032559,count,persons,50
2018-11,E01005391,count,persons,20
2018-11,E01005392,count,persons,50
2018-11,E01005393,count,persons,10
2018-11,E01005401,count,persons,15
2018-11,E01005397,count,persons,25
2018-11,E01005398,count,persons,30
2018-11,E01005400,count,persons,60
2018-11,E01005402,count,persons,15
2018-11,E01005335,count,persons,5
2018-11,E01005337,count,persons,60
2018-11,E01005339,count,persons,10
2018-11,E01005340,count,persons,55
2018-11,E01005421,count,persons,65
2018-11,E01005422,count,persons,70
2018-11,E01032920,count,persons,95
2018-11,E01005448,count,persons,115
2018-11,E01005449,count,persons,35
2018-11,E01005454,count,persons,20
2018-11,E01005455,count,persons,25
2018-11,E01005456,count,persons,100
2018-11,E01005407,count,persons,15
2018-11,E01005412,count,persons,10
2018-11,E01005416,count,persons,15
2018-11,E01005417,count,persons,10
2018-11,E01005348,count,persons,80
2018-11,E01005350,count,persons,180
2018-11,E01005432,count,persons,85
2018-11,E01005433,count,persons,150
2018-11,E01005329,count,persons,20
2018-11,E01005330,count,persons,10
2018-11,E01005333,count,persons,10
2018-11,E01005336,count,persons,5
2018-11,E01005349,count,persons,115
2018-11,E01005351,count,persons,55
2018-11,E01005352,count,persons,70
2018-11,E01005353,count,persons,130
2018-11,E01005354,count,persons,60
2018-11,E01005327,count,persons,20
2018-11,E01005328,count,persons,80
2018-11,E01005331,count,persons,35
2018-11,E01005334,count,persons,15
2018-11,E01005338,count,persons,60
2018-11,E01005387,count,persons,25
2018-11,E01005388,count,persons,20
2018-11,E01005389,count,persons,75
2018-11,E01005418,count,persons,10
2018-11,E01005428,count,persons,80
2018-11,E01005431,count,persons,55
2018-11,E01005450,count,persons,60
2018-11,E01005451,count,persons,25
2018-11,E01005408,count,persons,15
2018-11,E01005409,count,persons,10
2018-11,E01032922,count,persons,25
2018-11,E01005406,count,persons,10
2018-11,E01005413,count,persons,5
2018-11,E01005419,count,persons,25
2018-11,E01005420,count,persons,25
2018-11,E01005321,count,persons,80
2018-11,E01005326,count,persons,80
2018-11,E01005427,count,persons,80
2018-11,E01005429,count,persons,60
2018-11,E01005430,count,persons,90
2018-11,E01005320,count,persons,90
2018-11,E01005434,count,persons,185
2018-11,E01005437,count,persons,50
2018-11,E01005459,count,persons,85
2018-11,E01005383,count,persons,60
2018-11,E01005386,count,persons,95
2018-11,E01032556,count,persons,20
2018-11,E01032557,count,persons,80
2018-11,E01005342,count,persons,60
2018-11,E01005343,count,persons,40
2018-11,E01005344,count,persons,75
2018-11,E01005381,count,persons,55
2018-11,E01005332,count,persons,65
2018-11,E01005341,count,persons,30
2018-11,E01005345,count,persons,20
2018-11,E01005346,count,persons,15
2018-11,E01005347,count,persons,20
2018-11,E01005322,count,persons,75
2018-11,E01005323,count,persons,45
2018-11,E01005324,count,persons,65
2018-11,E01005325,count,persons,70
2018-11,E01005438,count,persons,100
2018-11,E01005377,count,persons,65
2018-11,E01005379,count,persons,55
2018-11,E01005380,count,persons,65
2018-11,E01005382,count,persons,60
2018-11,E01005439,count,persons,35
2018-11,E01005362,count,persons,25
2018-11,E01005364,count,persons,25
2018-11,E01005368,count,persons,70
2018-11,E01005376,count,persons,55
2018-11,E01005378,count,persons,50
2018-11,E01005363,count,persons,50
2018-11,E01005369,count,persons,55
2018-11,E01005370,count,persons,55
2018-11,E01005371,count,persons,55
2018-11,E01005365,count,persons,15
2018-11,E01005366,count,persons,50
2018-11,E01005367,count,persons,10
2018-11,E01005440,count,persons,25
2018-11,E01005372,count,persons,30
2018-11,E01005373,count,persons,15
2018-11,E01005374,count,persons,25
2018-11,E01005375,count,persons,15
2018-11,E01005435,count,persons,50
2018-11,E01005436,count,persons,35
2018-11,E01005460,count,persons,100
2018-11,E01005461,count,persons,85
2018-11,E01005462,count,persons,40
2018-11,E01005463,count,persons,60
2018-11,E01032921,count,persons,165
2018-11,E01005518,count,persons,25
2018-11,E01005520,count,persons,20
2018-11,E01005522,count,persons,20
2018-11,E01005523,count,persons,20
2018-11,E01005519,count,persons,15
2018-11,E01005594,count,persons,20
2018-11,E01005597,count,persons,5
2018-11,E01005598,count,persons,5
2018-11,E01005516,count,persons,15
2018-11,E01005517,count,persons,10
2018-11,E01005521,count,persons,15
2018-11,E01005596,count,persons,15
2018-11,E01005578,count,persons,55
2018-11,E01005579,count,persons,45
2018-11,E01005586,count,persons,70
2018-11,E01005593,count,persons,35
2018-11,E01005595,count,persons,60
2018-11,E01005489,count,persons,15
2018-11,E01005490,count,persons,35
2018-11,E01005491,count,persons,30
2018-11,E01005493,count,persons,20
2018-11,E01005494,count,persons,25
2018-11,E01005495,count,persons,35
2018-11,E01005488,count,persons,5
2018-11,E01005492,count,persons,10
2018-11,E01005499,count,persons,15
2018-11,E01005571,count,persons,5
2018-11,E01005570,count,persons,10
2018-11,E01005572,count,persons,10
2018-11,E01005573,count,persons,10
2018-11,E01005574,count,persons,5
2018-11,E01005587,count,persons,10
2018-11,E01005588,count,persons,25
2018-11,E01005580,count,persons,55
2018-11,E01005581,count,persons,70
2018-11,E01005583,count,persons,80
2018-11,E01005585,count,persons,45
2018-11,E01033258,count,persons,85
2018-11,E01005496,count,persons,50
2018-11,E01005589,count,persons,45
2018-11,E01005590,count,persons,45
2018-11,E01005591,count,persons,5
2018-11,E01005592,count,persons,40
2018-11,E01005472,count,persons,50
2018-11,E01005473,count,persons,40
2018-11,E01005482,count,persons,220
2018-11,E01005483,count,persons,100
2018-11,E01005484,count,persons,135
2018-11,E01005486,count,persons,70
2018-11,E01005487,count,persons,55
2018-11,E01005474,count,persons,20
2018-11,E01005575,count,persons,10
2018-11,E01005576,count,persons,5
2018-11,E01005577,count,persons,10
2018-11,E01005469,count,persons,25
2018-11,E01005563,count,persons,35
2018-11,E01005565,count,persons,50
2018-11,E01005566,count,persons,45
2018-11,E01005568,count,persons,85
2018-11,E01005569,count,persons,35
2018-11,E01005556,count,persons,20
2018-11,E01005559,count,persons,35
2018-11,E01005560,count,persons,10
2018-11,E01005567,count,persons,25
2018-11,E01005555,count,persons,20
2018-11,E01005557,count,persons,5
2018-11,E01005558,count,persons,20
2018-11,E01005561,count,persons,10
2018-11,E01005562,count,persons,20
2018-11,E01005470,count,persons,45
2018-11,E01005471,count,persons,30
2018-11,E01005475,count,persons,45
2018-11,E01005485,count,persons,70
2018-11,E01005564,count,persons,85
2018-11,E01005464,count,persons,40
2018-11,E01005465,count,persons,45
2018-11,E01005466,count,persons,135
2018-11,E01005467,count,persons,80
2018-11,E01005468,count,persons,10
2018-11,E01005476,count,persons,45
2018-11,E01005477,count,persons,70
2018-11,E01005478,count,persons,35
2018-11,E01005479,count,persons,30
2018-11,E01005480,count,persons,30
2018-11,E01005481,count,persons,25
2018-11,E01005497,count,persons,55
2018-11,E01005501,count,persons,55
2018-11,E01005502,count,persons,40
2018-11,E01005504,count,persons,35
2018-11,E01005505,count,persons,45
2018-11,E01005509,count,persons,75
2018-11,E01005510,count,persons,10
2018-11,E01005511,count,persons,15
2018-11,E01005512,count,persons,40
2018-11,E01005513,count,persons,50
2018-11,E01005514,count,persons,25
2018-11,E01005515,count,persons,60
2018-11,E01005498,count,persons,40
2018-11,E01005500,count,persons,25
2018-11,E01005503,count,persons,10
2018-11,E01005506,count,persons,25
