Date,Geography,Measure Type,Unit,Value
2018-11,E01004768,count,persons,5
2018-11,E01004803,count,persons,5
2018-11,E01004804,count,persons,5
2018-11,E01004807,count,persons,5
2018-11,E01004808,count,persons,5
2018-11,E01004788,count,persons,10
2018-11,E01004790,count,persons,10
2018-11,E01004805,count,persons,5
2018-11,E01004806,count,persons,5
2018-11,E01004810,count,persons,10
2018-11,E01004769,count,persons,10
2018-11,E01004770,count,persons,5
2018-11,E01004771,count,persons,5
2018-11,E01004773,count,persons,25
2018-11,E01004809,count,persons,25
2018-11,E01004777,count,persons,20
2018-11,E01004881,count,persons,20
2018-11,E01004888,count,persons,20
2018-11,E01004889,count,persons,20
2018-11,E01004890,count,persons,20
2018-11,E01004766,count,persons,40
2018-11,E01004767,count,persons,25
2018-11,E01004772,count,persons,45
2018-11,E01004774,count,persons,35
2018-11,E01004824,count,persons,30
2018-11,E01004784,count,persons,0
2018-11,E01004785,count,persons,15
2018-11,E01004786,count,persons,10
2018-11,E01004789,count,persons,5
2018-11,E01004791,count,persons,5
2018-11,E01004792,count,persons,5
2018-11,E01004779,count,persons,20
2018-11,E01004781,count,persons,10
2018-11,E01004882,count,persons,10
2018-11,E01004883,count,persons,20
2018-11,E01004884,count,persons,10
2018-11,E01004864,count,persons,15
2018-11,E01004867,count,persons,35
2018-11,E01004921,count,persons,25
2018-11,E01004924,count,persons,5
2018-11,E01004925,count,persons,10
2018-11,E01004778,count,persons,5
2018-11,E01004780,count,persons,10
2018-11,E01004782,count,persons,15
2018-11,E01004783,count,persons,10
2018-11,E01004802,count,persons,60
2018-11,E01004926,count,persons,50
2018-11,E01004927,count,persons,90
2018-11,E01004929,count,persons,35
2018-11,E01004820,count,persons,90
2018-11,E01004825,count,persons,55
2018-11,E01004826,count,persons,60
2018-11,E01004865,count,persons,35
2018-11,E01004866,count,persons,75
2018-11,E01004840,count,persons,10
2018-11,E01004841,count,persons,80
2018-11,E01004842,count,persons,5
2018-11,E01004919,count,persons,15
2018-11,E01004920,count,persons,25
2018-11,E01004787,count,persons,100
2018-11,E01004793,count,persons,65
2018-11,E01004794,count,persons,85
