title,name,component_attachment,property_template,value_template,datatype, value_transformation
Date,date,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/month/{date},string,
Geography,geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea,http://statistics.data.gov.uk/id/statistical-geography/{geography},string,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://gmdatastore.org.uk/def/measure-properties/{measure_type},string,slugize
Unit,unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,http://gmdatastore.org.uk/def/concept/measurement-units/{unit},string,unitize
Value,value,,http://gmdatastore.org.uk/def/measure-properties/{measure_type},,integer,
count,count,qb:measure,http://gmdatastore.org.uk/def/measure-properties/count,,string,
