Geography,Measure Type,Unit,Value
E01005055,count,households,3
E01005056,count,households,6
E01005057,count,households,20
E01005058,count,households,3
E01004995,count,households,8
E01005010,count,households,16
E01005012,count,households,45
E01005013,count,households,59
E01004984,count,households,3
E01004985,count,households,2
E01004989,count,households,4
E01005007,count,households,5
E01005011,count,households,3
E01004983,count,households,13
E01004986,count,households,30
E01004987,count,households,17
E01004988,count,households,11
E01004941,count,households,29
E01004942,count,households,45
E01004943,count,households,28
E01004944,count,households,10
E01004946,count,households,41
E01004969,count,households,6
E01004970,count,households,6
E01004971,count,households,7
E01005034,count,households,6
E01004972,count,households,33
E01004973,count,households,18
E01004975,count,households,24
E01005039,count,households,42
E01005045,count,households,22
E01004974,count,households,6
E01005033,count,households,5
E01005036,count,households,14
E01005037,count,households,17
E01005031,count,households,19
E01005032,count,households,22
E01005035,count,households,10
E01005038,count,households,7
E01005040,count,households,10
E01005041,count,households,4
E01005042,count,households,8
E01005043,count,households,3
E01005044,count,households,4
E01005098,count,households,49
E01005099,count,households,92
E01005100,count,households,44
E01005102,count,households,25
E01005103,count,households,49
E01005101,count,households,43
E01005135,count,households,66
E01005136,count,households,19
E01005138,count,households,89
E01005140,count,households,69
E01005139,count,households,36
E01005141,count,households,57
E01005251,count,households,58
E01005252,count,households,46
E01033685,count,households,23
E01033687,count,households,27
E01005104,count,households,69
E01005160,count,households,19
E01005161,count,households,28
E01005162,count,households,19
E01005163,count,households,23
E01005247,count,households,14
E01005248,count,households,8
E01005249,count,households,28
E01005250,count,households,67
E01005253,count,households,53
E01005254,count,households,17
E01005164,count,households,44
E01005205,count,households,64
E01005206,count,households,40
E01005207,count,households,56
E01005223,count,households,28
E01005224,count,households,58
E01005225,count,households,53
E01005226,count,households,44
E01005229,count,households,14
E01005145,count,households,44
E01005146,count,households,39
E01005149,count,households,23
E01005165,count,households,50
E01005166,count,households,26
E01005167,count,households,38
E01005202,count,households,111
E01005203,count,households,83
E01005227,count,households,68
E01005228,count,households,70
E01033678,count,households,57
E01033679,count,households,62
E01005256,count,households,70
E01005257,count,households,85
E01005258,count,households,44
E01005259,count,households,87
E01005260,count,households,21
E01005093,count,households,69
E01005094,count,households,61
E01005097,count,households,81
E01005255,count,households,63
E01005261,count,households,73
E01005129,count,households,56
E01005132,count,households,74
E01005133,count,households,36
E01033663,count,households,8
E01033684,count,households,1
E01033688,count,households,53
E01005092,count,households,64
E01005105,count,households,77
E01005106,count,households,56
E01005107,count,households,75
E01033668,count,households,32
E01033669,count,households,47
E01005108,count,households,125
E01005189,count,households,60
E01005190,count,households,71
E01033666,count,households,46
E01005061,count,households,72
E01005062,count,households,47
E01005063,count,households,44
E01005065,count,households,59
E01005066,count,households,16
E01005208,count,households,47
E01005209,count,households,42
E01005210,count,households,24
E01005214,count,households,37
E01005067,count,households,56
E01005186,count,households,54
E01005232,count,households,30
E01005235,count,households,58
E01005239,count,households,83
E01005187,count,households,74
E01005188,count,households,41
E01005191,count,households,57
E01005192,count,households,26
E01005193,count,households,49
E01005230,count,households,25
E01005231,count,households,4
E01005236,count,households,30
E01005237,count,households,19
E01033652,count,households,18
E01033657,count,households,19
E01005195,count,households,68
E01005196,count,households,112
E01005197,count,households,43
E01005198,count,households,53
E01005201,count,households,92
E01005240,count,households,111
E01005243,count,households,106
E01005245,count,households,103
E01005246,count,households,100
E01005241,count,households,61
E01005242,count,households,125
E01005244,count,households,42
E01005285,count,households,24
E01005288,count,households,26
E01005280,count,households,35
E01005281,count,households,2
E01005284,count,households,6
E01005286,count,households,6
E01005287,count,households,37
E01005194,count,households,55
E01005199,count,households,57
E01005200,count,households,37
E01005233,count,households,64
E01005234,count,households,42
E01005238,count,households,34
E01005297,count,households,40
E01005298,count,households,24
E01005302,count,households,16
E01033680,count,households,11
