wd16cd,wd16nm,lad16cd,lad16nm,wd11nm,all,no_qual,percent
E05000681,Ramsbottom,E08000002,Bury,Ramsbottom,7798,785,10.1
E05000682,Redvales,E08000002,Bury,Redvales,7464,1390,18.6
E05000683,St Mary's,E08000002,Bury,St Mary's,6608,796,12
E05000684,Sedgley,E08000002,Bury,Sedgley,7670,996,13
E05000685,Tottington,E08000002,Bury,Tottington,6340,616,9.7
E05000686,Unsworth,E08000002,Bury,Unsworth,5911,761,12.9
E05000687,Ancoats and Clayton,E08000003,Manchester,Ancoats and Clayton,12087,2316,19.2
E05000688,Ardwick,E08000003,Manchester,Ardwick,14742,2054,13.9
E05000689,Baguley,E08000003,Manchester,Baguley,9618,2352,24.5
E05000690,Bradford,E08000003,Manchester,Bradford,10931,2706,24.8
E05000691,Brooklands,E08000003,Manchester,Brooklands,9511,1752,18.4
E05000692,Burnage,E08000003,Manchester,Burnage,9791,2076,21.2
E05000693,Charlestown,E08000003,Manchester,Charlestown,9175,2440,26.6
E05000694,Cheetham,E08000003,Manchester,Cheetham,15544,3333,21.4
E05000695,Chorlton,E08000003,Manchester,Chorlton,10552,668,6.3
E05000696,Chorlton Park,E08000003,Manchester,Chorlton Park,10944,1278,11.7
E05000697,City Centre,E08000003,Manchester,City Centre,17212,314,1.8
E05000698,Crumpsall,E08000003,Manchester,Crumpsall,10359,2206,21.3
E05000699,Didsbury East,E08000003,Manchester,Didsbury East,10049,685,6.8
E05000700,Didsbury West,E08000003,Manchester,Didsbury West,9658,414,4.3
E05000701,Fallowfield,E08000003,Manchester,Fallowfield,11611,1383,11.9
E05000702,Gorton North,E08000003,Manchester,Gorton North,10565,2869,27.2
E05000703,Gorton South,E08000003,Manchester,Gorton South,12741,2928,23
E05000704,Harpurhey,E08000003,Manchester,Harpurhey,11714,3565,30.4
E05000705,Higher Blackley,E08000003,Manchester,Higher Blackley,8701,2227,25.6
E05000706,Hulme,E08000003,Manchester,Hulme,14408,1231,8.5
E05000707,Levenshulme,E08000003,Manchester,Levenshulme,11346,1261,11.1
E05000708,Longsight,E08000003,Manchester,Longsight,10836,2011,18.6
E05000709,Miles Platting and Newton Heath,E08000003,Manchester,Miles Platting and Newton Heath,9820,3357,34.2
E05000710,Moss Side,E08000003,Manchester,Moss Side,12947,2322,17.9
E05000711,Moston,E08000003,Manchester,Moston,9481,2133,22.5
E05000712,Northenden,E08000003,Manchester,Northenden,9804,2152,22
E05000713,Old Moat,E08000003,Manchester,Old Moat,11168,1274,11.4
E05000714,Rusholme,E08000003,Manchester,Rusholme,10355,1418,13.7
E05000715,Sharston,E08000003,Manchester,Sharston,11072,2948,26.6
E05000716,Whalley Range,E08000003,Manchester,Whalley Range,11075,1294,11.7
E05000717,Withington,E08000003,Manchester,Withington,11368,634,5.6
E05000718,Woodhouse Park,E08000003,Manchester,Woodhouse Park,8980,2552,28.4
E05000719,Alexandra,E08000004,Oldham,Alexandra,7508,2542,33.9
E05000720,Chadderton Central,E08000004,Oldham,Chadderton Central,6780,1163,17.2
E05000721,Chadderton North,E08000004,Oldham,Chadderton North,6718,1283,19.1
E05000722,Chadderton South,E08000004,Oldham,Chadderton South,7078,1594,22.5
E05000723,Coldhurst,E08000004,Oldham,Coldhurst,7806,2889,37
E05000724,Crompton,E08000004,Oldham,Crompton,6640,952,14.3
E05000725,Failsworth East,E08000004,Oldham,Failsworth East,6811,1169,17.2
E05000726,Failsworth West,E08000004,Oldham,Failsworth West,6209,1242,20
E05000727,Hollinwood,E08000004,Oldham,Hollinwood,6774,2117,31.3
E05000728,Medlock Vale,E08000004,Oldham,Medlock Vale,7813,2130,27.3
E05000729,Royton North,E08000004,Oldham,Royton North,6561,1013,15.4
E05000730,Royton South,E08000004,Oldham,Royton South,6956,1083,15.6
E05000731,Saddleworth North,E08000004,Oldham,Saddleworth North,6267,579,9.2
E05000732,Saddleworth South,E08000004,Oldham,Saddleworth South,6250,493,7.9
E05000733,Saddleworth West and Lees,E08000004,Oldham,Saddleworth West and Lees,7197,843,11.7
E05000734,St James',E08000004,Oldham,St James',7501,1719,22.9
E05000735,St Mary's,E08000004,Oldham,St Mary's,8429,3041,36.1
E05000736,Shaw,E08000004,Oldham,Shaw,6826,1182,17.3
E05000737,Waterhead,E08000004,Oldham,Waterhead,7842,1982,25.3
E05000738,Werneth,E08000004,Oldham,Werneth,7519,2356,31.3
E05000739,Balderstone and Kirkholt,E08000005,Rochdale,Balderstone and Kirkholt,6578,1610,24.5
E05000740,Bamford,E08000005,Rochdale,Bamford,5831,859,14.7
E05000741,Castleton,E08000005,Rochdale,Castleton,6448,1254,19.4
E05000742,Central Rochdale,E08000005,Rochdale,Central Rochdale,7283,2309,31.7
E05000743,East Middleton,E08000005,Rochdale,East Middleton,6872,1368,19.9
E05000744,Healey,E08000005,Rochdale,Healey,6788,1136,16.7
E05000745,Hopwood Hall,E08000005,Rochdale,Hopwood Hall,7580,1477,19.5
E05000746,Kingsway,E08000005,Rochdale,Kingsway,7520,2085,27.7
E05000747,Littleborough Lakeside,E08000005,Rochdale,Littleborough Lakeside,5937,856,14.4
E05000748,Milkstone and Deeplish,E08000005,Rochdale,Milkstone and Deeplish,7377,2119,28.7
E05000749,Milnrow and Newhey,E08000005,Rochdale,Milnrow and Newhey,6656,920,13.8
E05000750,Norden,E08000005,Rochdale,Norden,6344,545,8.6
E05000751,North Heywood,E08000005,Rochdale,North Heywood,6644,1545,23.3
